ride_id,pickup,destination,date,time,distance,vehicleType,base_fare,traffic,weather,final_fare
404a3dcd-bf76-459b-a59e-764bc72bb5bf,"Khambhaliya, Jamnagar","Adajan, Surat",2024-04-28,11:25,12.2,auto,183.0,Medium,Clear,201.3
86c836ac-eb91-42cc-bdf7-2ce8630f57bf,Nadiad Bus Stand,"Khambhaliya, Jamnagar",2024-05-15,18:59,30.2,auto,453.0,Medium,Rainy,523.22
d1635a54-1bc0-48a4-8f02-8dc2b66e660e,Nadiad Bus Stand,"CG Road, Ahmedabad",2024-05-24,21:59,35.8,moto,716.0,High,Stormy,945.12
c48c3862-0e29-425f-9a2b-7cd7915fe608,"Varachha, Surat","Khambhaliya, Jamnagar",2024-08-14,15:23,5.7,bike,57.0,Low,Stormy,62.7
72e85a03-27da-487b-b831-f4501f5c88e1,"CG Road, Ahmedabad",Jamnagar Railway Station,2024-01-14,11:26,23.6,auto,354.0,Medium,Rainy,408.87
47dc5b38-917a-4365-9b2a-487bf67bbb96,"Varachha, Surat",Ahmedabad Railway Station,2024-03-07,23:18,23.5,auto,352.5,High,Clear,423.0
b2bd8f93-a937-4f74-8a53-d6a1523e8032,Nadiad Bus Stand,"Adajan, Surat",2024-03-26,19:40,37.0,auto,555.0,Low,Clear,555.0
e1475807-81d5-4a78-bed1-b3830cc3dfc8,"Varachha, Surat","Gota, Ahmedabad",2024-08-31,22:51,16.6,auto,249.0,Low,Stormy,273.9
8b2fac85-c5f3-49ce-9f27-952b28cb28de,Nadiad Bus Stand,Ahmedabad Railway Station,2024-09-13,13:18,23.4,moto,468.0,Low,Clear,468.0
4ef9d763-c787-4411-90a6-654eebdc6467,Surat Airport,Jamnagar Railway Station,2024-09-15,01:08,1.3,bike,13.0,High,Rainy,16.38
17831206-5f06-41ae-8295-3ac685fb06ee,"Khambhaliya, Jamnagar","Adajan, Surat",2024-08-19,01:53,6.8,bike,68.0,High,Clear,81.6
1ff40124-4b4b-4555-ac6a-389eb85edb43,"Varachha, Surat",Jamnagar Railway Station,2024-07-15,12:54,43.3,moto,866.0,High,Rainy,1091.16
fdbdc72e-32c4-4b92-b1ff-e7e68440832e,Jamnagar Railway Station,Ahmedabad Railway Station,2024-04-01,01:42,30.0,auto,450.0,Medium,Clear,495.0
d80a06b6-4766-4ba1-9a0c-63f53229d1f0,"Varachha, Surat",Surat Airport,2024-03-04,04:24,2.7,bike,27.0,High,Rainy,34.02
e53cd578-bbfe-4d8a-8aff-617768e493e2,"Gota, Ahmedabad",Jamnagar Railway Station,2024-02-04,16:50,25.9,auto,388.5,Medium,Stormy,470.09
ff9d7043-698d-4338-88c3-108b5c684554,Jamnagar Railway Station,"Varachha, Surat",2024-02-18,14:54,13.8,bike,138.0,High,Stormy,182.16
a6b4bde5-f708-4b82-b2b9-d7308b9ab14b,Nadiad Junction,"Gota, Ahmedabad",2024-08-25,05:32,19.3,bike,193.0,Medium,Rainy,222.92
4a4dfd91-50c7-4b7a-a719-c832fd32ff8c,"Adajan, Surat","Gota, Ahmedabad",2024-07-31,17:30,48.7,moto,974.0,High,Stormy,1285.68
e6a3da5c-ba02-437f-9cdf-08539dd22e18,Ahmedabad Railway Station,Jamnagar Railway Station,2024-03-15,18:39,26.2,moto,524.0,High,Rainy,660.24
18a2b962-8876-4149-81c0-563e516ca315,"CG Road, Ahmedabad",Jamnagar Railway Station,2024-04-15,20:04,8.0,bike,80.0,Medium,Clear,88.0
c46b221b-1bcf-4237-9926-cac2c7e86352,"Khambhaliya, Jamnagar",Nadiad Bus Stand,2024-03-17,22:19,41.3,moto,826.0,Medium,Rainy,954.03
8356fb01-ef69-416f-a6eb-693a16cfd140,"Varachha, Surat",Surat Airport,2024-11-05,18:32,40.4,moto,808.0,Low,Clear,808.0
9c097c71-dc9e-4f15-924c-cd65d76a5bd3,"Khambhaliya, Jamnagar",Nadiad Bus Stand,2024-12-24,07:37,15.2,auto,228.0,Medium,Clear,250.8
bbbf2f26-6576-4377-8424-977b276f0e99,"CG Road, Ahmedabad",Jamnagar Railway Station,2024-09-06,16:49,15.2,bike,152.0,Low,Rainy,159.6
95ab1d14-9864-4c2b-b25e-3d2c662d37c0,Nadiad Junction,"Varachha, Surat",2024-02-26,08:52,7.9,auto,118.5,High,Clear,142.2
de88299c-42a0-4ae8-8bef-c4638b368e44,"Adajan, Surat",Nadiad Junction,2024-05-20,22:02,36.9,auto,553.5,High,Rainy,697.41
8cdd356d-1df7-41fc-acca-81c35c447bb9,"Varachha, Surat",Nadiad Bus Stand,2024-10-15,14:34,18.7,bike,187.0,Low,Rainy,196.35
d537a5ef-a38e-4b83-97d6-8d186ab6c836,Ahmedabad Railway Station,"Adajan, Surat",2024-12-01,07:55,9.7,auto,145.5,Low,Rainy,152.78
d7af57de-2734-4c27-9aaa-a946d66a5e38,Jamnagar Railway Station,"Adajan, Surat",2024-04-27,22:49,10.9,bike,109.0,Low,Clear,109.0
419b13ef-17df-430e-8c41-b07ad84bd117,"Adajan, Surat",Surat Airport,2024-10-05,01:41,23.7,auto,355.5,Medium,Stormy,430.16
51a6858c-de33-45a8-8c23-3d0eef87d7cd,Nadiad Junction,"CG Road, Ahmedabad",2024-09-21,23:28,34.7,moto,694.0,Medium,Rainy,801.57
8f855410-3864-4a85-bee0-668e1ee34b18,Ahmedabad Railway Station,Nadiad Bus Stand,2024-09-28,04:27,5.2,auto,78.0,High,Rainy,98.28
620b5a98-3f54-45f9-b266-e35a616f7be7,Nadiad Bus Stand,"Gota, Ahmedabad",2024-10-07,04:33,14.1,bike,141.0,High,Rainy,177.66
9c794dd5-c4ec-48de-8ed3-78204afd31fe,Nadiad Junction,Nadiad Bus Stand,2024-08-19,19:05,24.7,auto,370.5,Medium,Rainy,427.93
575952f7-eda5-4ee0-88ff-721aac80ce27,"CG Road, Ahmedabad",Surat Airport,2024-07-24,15:43,40.2,moto,804.0,Low,Rainy,844.2
7a750d3c-3420-4d4f-961f-fd1323e1f91f,"Gota, Ahmedabad","Khambhaliya, Jamnagar",2024-11-24,09:00,32.1,moto,642.0,Medium,Rainy,741.51
e70cc93b-0d31-4099-ba64-89b05aac9638,"Varachha, Surat",Jamnagar Railway Station,2024-07-03,19:11,6.3,bike,63.0,Low,Rainy,66.15
5d25d3a1-b96f-457c-891c-098f5d9fd3c7,Jamnagar Railway Station,"Adajan, Surat",2024-08-17,13:09,2.7,bike,27.0,Medium,Rainy,31.19
2a7ce15a-6883-4933-a9fa-d452764655c4,"Varachha, Surat",Nadiad Junction,2024-03-14,05:21,21.9,moto,438.0,Low,Stormy,481.8
1867875b-28e6-4cbf-a8c5-21492966a46d,"Gota, Ahmedabad",Nadiad Bus Stand,2024-04-12,13:43,8.2,bike,82.0,Low,Stormy,90.2
6ccde608-67d2-48c2-804c-8eb64eb40ae3,Surat Airport,Nadiad Junction,2024-08-11,13:43,3.7,bike,37.0,High,Clear,44.4
737f2bea-a3fe-48c0-9746-70befe14296b,"Gota, Ahmedabad","CG Road, Ahmedabad",2024-12-09,08:51,20.7,moto,414.0,High,Rainy,521.64
63237e85-416d-4210-a840-09d23d353e7e,Nadiad Junction,Nadiad Bus Stand,2024-03-23,01:00,36.0,auto,540.0,Low,Clear,540.0
75fb6326-3e0c-4b81-88c8-a5f60002971a,Nadiad Bus Stand,"CG Road, Ahmedabad",2024-06-19,20:41,39.9,moto,798.0,Low,Clear,798.0
0a31ac42-777b-4f0e-861c-732a3dcac993,Nadiad Junction,"Khambhaliya, Jamnagar",2024-08-03,09:08,10.0,bike,100.0,Medium,Clear,110.0
bfb50522-f686-426f-89ee-9eb6410d211b,Ahmedabad Railway Station,"Adajan, Surat",2024-08-19,18:52,8.6,bike,86.0,Medium,Stormy,104.06
94a7fe1a-f8e3-42f0-ad8d-484e23f9da3f,"Khambhaliya, Jamnagar","CG Road, Ahmedabad",2024-12-11,15:07,42.4,moto,848.0,Low,Stormy,932.8
9a7c47af-a474-4dbe-b30b-702bccd31f22,"CG Road, Ahmedabad","Gota, Ahmedabad",2024-03-19,08:36,9.5,bike,95.0,Low,Stormy,104.5
1db97893-5537-4557-aa61-31aed7e3c2f5,Nadiad Bus Stand,"Gota, Ahmedabad",2024-09-22,12:35,37.1,moto,742.0,High,Stormy,979.44
edd1d805-f9da-4897-b576-bbb8049ce70e,Nadiad Junction,"Gota, Ahmedabad",2024-07-11,03:19,43.4,moto,868.0,Medium,Stormy,1050.28
